Episode 10	 Average Score: 31.30
Episode 20	 Average Score: 29.25
Episode 30	 Average Score: 27.17
Episode 40	 Average Score: 27.20
Episode 50	 Average Score: 31.84
Episode 60	 Average Score: 34.95
Episode 70	 Average Score: 39.79
Episode 80	 Average Score: 45.80
Episode 90	 Average Score: 55.46
Episode 100	 Average Score: 61.96
Episode 110	 Average Score: 72.79
Episode 120	 Average Score: 86.19
Episode 130	 Average Score: 92.32
Episode 140	 Average Score: 100.02
Episode 150	 Average Score: 117.16
Episode 160	 Average Score: 130.74
Episode 170	 Average Score: 144.31
Episode 180	 Average Score: 166.86
Episode 190	 Average Score: 197.15
Episode 200	 Average Score: 225.98
Episode 210	 Average Score: 259.35
Episode 220	 Average Score: 293.23
Episode 230	 Average Score: 334.80
Episode 240	 Average Score: 366.02
Episode 250	 Average Score: 389.79
Episode 260	 Average Score: 421.16
Episode 270	 Average Score: 450.71
Episode 280	 Average Score: 468.85
Episode 290	 Average Score: 473.92
Episode 300	 Average Score: 483.04
Episode 310	 Average Score: 483.10
Episode 320	 Average Score: 483.10
Episode 330	 Average Score: 475.83
Episode 340	 Average Score: 475.97
Episode 350	 Average Score: 475.53
Episode 360	 Average Score: 474.39
Episode 370	 Average Score: 474.39
Episode 380	 Average Score: 471.10
Episode 390	 Average Score: 472.47
Episode 400	 Average Score: 472.47
Episode 410	 Average Score: 475.08
Episode 420	 Average Score: 472.15
Episode 430	 Average Score: 479.42
Episode 440	 Average Score: 487.63
Episode 450	 Average Score: 490.76
Episode 460	 Average Score: 491.90
Episode 470	 Average Score: 491.90
Episode 480	 Average Score: 495.71
Episode 490	 Average Score: 485.94
Episode 500	 Average Score: 485.94
Episode 510	 Average Score: 485.94
Episode 520	 Average Score: 488.87
Episode 530	 Average Score: 488.87
Episode 540	 Average Score: 488.87
Episode 550	 Average Score: 490.23
Episode 560	 Average Score: 487.68
Episode 570	 Average Score: 487.68
Episode 580	 Average Score: 487.68
Episode 590	 Average Score: 497.45
Episode 600	 Average Score: 497.45
Episode 610	 Average Score: 497.45
Episode 620	 Average Score: 497.45
Episode 630	 Average Score: 497.45
Episode 640	 Average Score: 497.45
Episode 650	 Average Score: 497.45
Environment solved in 558 episode!	Average Score:500.00
reward: 500
